Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,AssemblyName
SRR6862441,not applicable,WGS,299,5651085004,PRJNA434660,SAMN08567280,Plant,1725997328,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817374,USA,North America,USA:Maryland,Illumina HiSeq 4000,73,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:12:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862442,not applicable,WGS,299,5550964303,PRJNA434660,SAMN08567280,Plant,1712670132,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817373,USA,North America,USA:Maryland,Illumina HiSeq 4000,74,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:11:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862443,not applicable,WGS,299,4679337339,PRJNA434660,SAMN08567280,Plant,1446232810,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817372,USA,North America,USA:Maryland,Illumina HiSeq 4000,75,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:12:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862444,not applicable,WGS,295,2047895144,PRJNA434660,SAMN08567280,Plant,812268513,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817371,USA,North America,USA:Maryland,Illumina HiSeq 4000,102,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:10:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862445,not applicable,WGS,295,1752785069,PRJNA434660,SAMN08567280,Plant,695682745,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817370,USA,North America,USA:Maryland,Illumina HiSeq 4000,101,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862446,not applicable,WGS,299,6616898015,PRJNA434660,SAMN08567280,Plant,1569871277,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817369,USA,North America,USA:Maryland,Illumina HiSeq 4000,105,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:14:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862447,not applicable,WGS,295,2149806866,PRJNA434660,SAMN08567280,Plant,849677026,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817368,USA,North America,USA:Maryland,Illumina HiSeq 4000,103,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:08:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862448,not applicable,WGS,299,6391810350,PRJNA434660,SAMN08567280,Plant,1517578697,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817367,USA,North America,USA:Maryland,Illumina HiSeq 4000,108,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:14:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862449,not applicable,WGS,299,4132359803,PRJNA434660,SAMN08567280,Plant,975341936,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817366,USA,North America,USA:Maryland,Illumina HiSeq 4000,106,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:12:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862450,not applicable,WGS,299,4865871193,PRJNA434660,SAMN08567280,Plant,1143456019,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817365,USA,North America,USA:Maryland,Illumina HiSeq 4000,110,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:17:00Z,1,AthMu,SRP133100,leaf,TAIR10
